name,facebook,twitter,website,genre,mtv
 Michael Jackson ,http://www.facebook.com/19691681472,http://www.twitter.com/michaeljackson,http://www.michaeljackson.com/,Pop,http://www.mtv.com/artists/michael-jackson/biography
 Rascal Flatts ,http://www.facebook.com/35346978792,http://www.twitter.com/rascalflatts,http://www.RascalFlatts.com,Country,http://www.cmt.com/artists/rascal-flatts/biography
 Britney Spears ,http://www.facebook.com/39677118233,http://www.twitter.com/britneyspears,http://britneyspears.com/,Pop,http://www.mtv.com/artists/britney-spears/biography
 Zac Brown Band ,http://www.facebook.com/zacbrownband,http://twitter.com/zacbrownband,http://www.zacbrownband.com,Country,http://www.cmt.com/artists/zac-brown-band/biography
 Hearty2Raw ,http://www.facebook.com/16418687463,http://www.twitter.com/HEARTY2RAW,https://soundcloud.com/hearty2raw/whole-lotta,Hip-Hop/Rap,http://www.mtv.com/artists/hearty2raw/biography
 Future ,http://www.facebook.com/282106645148368,http://www.twitter.com/1future,http://www.futurefreebandz.com,Hip-Hop/Rap,http://www.mtv.com/artists/future/biography
 Lady Antebellum ,http://www.facebook.com/6611987594,http://www.twitter.com/ladyantebellum,http://www.ladyantebellum.com,Country,http://www.cmt.com/artists/lady-antebellum/biography
 Adam Levine ,http://www.facebook.com/pages/Adam-Levine/157538101063819,https://twitter.com/adamlevine,,Alternative,http://www.mtv.com/artists/adam-levine/biography
 Janet Jackson ,,,http://www.janet-jackson.com/,R&B/Soul,http://www.mtv.com/artists/janet-jackson/biography
 Keith Urban ,http://www.facebook.com/7890746076,http://www.twitter.com/keithurban,http://www.KeithUrban.net,Country,http://www.cmt.com/artists/keith-urban/biography
 Sam Smith ,,,,,http://www.mtv.com/artists/sam-smith/biography
